recommended_titles,# movies
"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Batman (1989)', 'Lord of the Rings: The Return of the King, The (2003)']",64
"['Forrest Gump (1994)', 'American Beauty (1999)', 'True Lies (1994)', 'Speed (1994)', 'Shrek (2001)', 'Beauty and the Beast (1991)', 'Princess Bride, The (1987)', 'Good Will Hunting (1997)', 'Pretty Woman (1990)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Beautiful Mind, A (2001)', 'Twister (1996)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)""]",32
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)']",31
"['Fight Club (1999)', 'American Beauty (1999)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",48
"['Jurassic Park (1993)', 'Twelve Monkeys (a.k.a. 12 Monkeys) (1995)', 'Men in Black (a.k.a. MIB) (1997)', 'Stargate (1994)', 'Star Wars: Episode I - The Phantom Menace (1999)', 'X-Men (2000)']",135
"['Braveheart (1995)', 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Lion King, The (1994)', 'Gladiator (2000)']",98
"['Fargo (1996)', 'Lion King, The (1994)', 'Gladiator (2000)']",105
"['American Beauty (1999)', 'Apollo 13 (1995)']",502
"['Pulp Fiction (1994)', 'Fargo (1996)', 'Shrek (2001)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)']",703
"['Toy Story (1995)', 'Finding Nemo (2003)', 'Incredibles, The (2004)', 'Up (2009)']",242
"['Braveheart (1995)', 'Saving Private Ryan (1998)', 'True Lies (1994)', 'Speed (1994)']",443
"['Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'American Beauty (1999)', 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)']",119
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",121
"['Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Braveheart (1995)', 'Terminator 2: Judgment Day (1991)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Batman (1989)', 'Lord of the Rings: The Return of the King, The (2003)', 'True Lies (1994)', 'Speed (1994)']",110
"['Jurassic Park (1993)', 'Braveheart (1995)', 'Terminator 2: Judgment Day (1991)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Batman (1989)', 'True Lies (1994)', 'Speed (1994)']",26
"['Matrix, The (1999)', 'Jurassic Park (1993)', 'Fight Club (1999)', 'Usual Suspects, The (1995)', 'Independence Day (a.k.a. ID4) (1996)', 'Fargo (1996)', 'Twelve Monkeys (a.k.a. 12 Monkeys) (1995)', 'Speed (1994)', 'Mission: Impossible (1996)']",21
"['Apollo 13 (1995)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Return of the King, The (2003)', 'Aladdin (1992)', 'True Lies (1994)']",135
"['Apollo 13 (1995)', 'Lion King, The (1994)']",570
"['Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)']",81
"['Jurassic Park (1993)', 'Fight Club (1999)', 'Independence Day (a.k.a. ID4) (1996)', 'Batman (1989)', 'Saving Private Ryan (1998)', 'True Lies (1994)', 'Speed (1994)']",34
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Fargo (1996)', 'True Lies (1994)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)']",50
"['Forrest Gump (1994)', 'Braveheart (1995)', 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",102
"['Fight Club (1999)', 'American Beauty (1999)', 'Godfather, The (1972)', 'Lord of the Rings: The Return of the King, The (2003)', 'Lion King, The (1994)', 'Gladiator (2000)']",156
"['Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Batman (1989)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'True Lies (1994)']",86
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Toy Story (1995)', 'Aladdin (1992)', 'Fargo (1996)', 'True Lies (1994)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",23
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",60
"['Matrix, The (1999)', 'Jurassic Park (1993)', 'Fight Club (1999)', 'Usual Suspects, The (1995)', 'Seven (a.k.a. Se7en) (1995)', 'Independence Day (a.k.a. ID4) (1996)', 'Fargo (1996)', 'Twelve Monkeys (a.k.a. 12 Monkeys) (1995)', 'Speed (1994)', 'Mission: Impossible (1996)']",21
"['Fight Club (1999)', 'American Beauty (1999)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Gladiator (2000)']",78
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Gladiator (2000)']",100
"['Forrest Gump (1994)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Gladiator (2000)']",103
"['Shawshank Redemption, The (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)']",217
"['Toy Story (1995)', 'Aladdin (1992)', 'Fargo (1996)', 'Shrek (2001)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)']",440
"['Fargo (1996)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",114
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Aladdin (1992)', 'Fargo (1996)', 'True Lies (1994)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",48
['Fargo (1996)'],399
"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Terminator 2: Judgment Day (1991)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Speed (1994)']",42
"['Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'American Beauty (1999)', 'Godfather, The (1972)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Lion King, The (1994)', 'Gladiator (2000)']",140
"['Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Braveheart (1995)', 'Terminator 2: Judgment Day (1991)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Batman (1989)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'True Lies (1994)', 'Speed (1994)']",33
"['Pulp Fiction (1994)', 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",21
"['Braveheart (1995)', ""Schindler's List (1993)"", 'American Beauty (1999)', 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",310
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Toy Story (1995)', 'Aladdin (1992)', 'Fargo (1996)', 'Back to the Future (1985)', 'Shrek (2001)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",359
"['Jurassic Park (1993)', 'Braveheart (1995)', 'Terminator 2: Judgment Day (1991)', 'Independence Day (a.k.a. ID4) (1996)', 'Batman (1989)', 'Saving Private Ryan (1998)', 'True Lies (1994)', 'Speed (1994)']",130
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",20
"[""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",33
"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Braveheart (1995)', 'Terminator 2: Judgment Day (1991)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Batman (1989)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'True Lies (1994)', 'Speed (1994)']",25
"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Speed (1994)']",46
"['Shrek (2001)', 'Ace Ventura: Pet Detective (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)']",476
"['Toy Story (1995)', 'Fargo (1996)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",112
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",107
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",22
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",39
"['Jurassic Park (1993)', 'Terminator 2: Judgment Day (1991)', 'Independence Day (a.k.a. ID4) (1996)', 'Batman (1989)', 'True Lies (1994)', 'Speed (1994)']",366
"['True Lies (1994)', 'Princess Bride, The (1987)']",271
"['Apollo 13 (1995)', 'Gladiator (2000)']",517
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",34
"[""Schindler's List (1993)"", 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Lion King, The (1994)']",345
"['Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Braveheart (1995)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Batman (1989)', 'True Lies (1994)', 'Speed (1994)']",36
[],1260
"['Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Lion King, The (1994)', 'Gladiator (2000)']",46
"['Pulp Fiction (1994)', 'Braveheart (1995)', 'Fight Club (1999)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",62
"['Matrix, The (1999)', 'Jurassic Park (1993)', 'Braveheart (1995)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Batman (1989)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'True Lies (1994)', 'Speed (1994)']",35
"['Fight Club (1999)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",45
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Aladdin (1992)', 'Fargo (1996)', 'True Lies (1994)', 'Back to the Future (1985)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",210
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",177
"['Jurassic Park (1993)', 'Braveheart (1995)', 'Fight Club (1999)', 'Independence Day (a.k.a. ID4) (1996)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Saving Private Ryan (1998)', 'True Lies (1994)', 'Speed (1994)']",69
"['Braveheart (1995)', ""Schindler's List (1993)"", 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Lion King, The (1994)', 'Gladiator (2000)']",119
"['Jurassic Park (1993)', 'Braveheart (1995)', 'Terminator 2: Judgment Day (1991)', 'Fight Club (1999)', 'Independence Day (a.k.a. ID4) (1996)', 'Batman (1989)', 'Saving Private Ryan (1998)', 'True Lies (1994)', 'Speed (1994)']",29
"['Braveheart (1995)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Batman (1989)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)']",61
"['Braveheart (1995)', 'Fight Club (1999)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Batman (1989)', 'Lord of the Rings: The Return of the King, The (2003)', 'True Lies (1994)']",64
"['Pulp Fiction (1994)', 'Jurassic Park (1993)', 'Seven (a.k.a. Se7en) (1995)', 'Independence Day (a.k.a. ID4) (1996)', 'Fugitive, The (1993)', 'Batman (1989)', 'Fargo (1996)', 'True Lies (1994)', 'Speed (1994)']",167
"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)']",26
"['Pulp Fiction (1994)', 'Fargo (1996)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",227
"['Pulp Fiction (1994)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Fargo (1996)']",118
"['Braveheart (1995)', 'Fight Club (1999)', 'American Beauty (1999)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",293
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",34
"['Braveheart (1995)', 'Terminator 2: Judgment Day (1991)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Batman (1989)', 'True Lies (1994)', 'Speed (1994)']",70
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",21
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",56
"['Pulp Fiction (1994)', 'Fargo (1996)', 'True Lies (1994)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)']",518
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",54
"[""Schindler's List (1993)"", 'American Beauty (1999)']",575
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",24
"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Return of the King, The (2003)', 'Lion King, The (1994)', 'Back to the Future (1985)']",97
"['Matrix, The (1999)', 'Fight Club (1999)', 'Usual Suspects, The (1995)', 'Independence Day (a.k.a. ID4) (1996)', 'Fargo (1996)', 'Mission: Impossible (1996)']",56
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",168
"['Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Batman (1989)', 'Lord of the Rings: The Return of the King, The (2003)']",78
"['Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Braveheart (1995)', 'Terminator 2: Judgment Day (1991)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Batman (1989)', 'Lord of the Rings: The Return of the King, The (2003)', 'True Lies (1994)']",36
"['Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Sixth Sense, The (1999)', 'Gladiator (2000)']",92
